step,from,to
1,0,89
2,89,158
3,158,78
4,78,156
5,156,76
6,76,157
7,157,77
8,77,156
9,156,73
10,73,4
11,4,71
12,71,5
13,5,79
14,79,6
15,6,79
16,79,7
17,7,80
18,80,6
19,6,75
20,75,155
21,155,76
22,76,154
23,154,68
24,68,2
25,2,69
26,69,3
27,3,70
28,70,155
29,155,72
30,72,3
31,3,71
32,71,2
33,2,66
34,66,153
35,153,68
36,68,3
37,3,69
38,69,154
39,154,74
40,74,6
41,6,81
42,81,7
43,7,82
44,82,8
45,8,80
46,80,158
47,158,79
48,79,159
49,159,87
50,87,9
51,9,85
52,85,149
53,149,84
54,84,8
55,8,83
56,83,7
57,7,78
58,78,157
59,157,79
60,79,0
61,0,91
62,91,1
63,1,64
64,64,2
65,2,69
66,69,4
67,4,70
68,70,1
69,1,90
70,90,159
71,159,78
72,78,5
73,5,77
74,77,158
75,158,82
76,82,9
77,9,81
78,81,8
79,8,76
80,76,6
81,6,92
82,92,1
83,1,68
84,68,0
85,0,86
86,86,154
87,154,71
88,71,155
89,155,73
90,73,2
91,2,91
92,91,5
93,5,79
94,79,11
95,11,89
96,89,159
97,159,85
98,85,150
99,150,84
100,84,148
101,148,83
102,83,147
103,147,82
104,82,159
105,159,67
106,67,154
107,154,72
108,72,7
109,7,75
110,75,156
111,156,72
112,72,4
113,4,77
114,77,155
115,155,88
116,88,152
117,152,87
118,87,151
119,151,85
120,85,8
121,8,80
122,80,157
123,157,84
124,84,9
125,9,76
126,76,7
127,7,80
128,80,0
129,0,90
130,90,157
131,157,75
132,75,4
133,4,81
134,81,158
135,158,88
136,88,153
137,153,69
138,69,124
139,124,67
140,67,123
141,123,63
142,63,122
143,122,65
144,65,1
145,1,66
146,66,152
147,152,65
148,65,2
149,2,77
150,77,3
151,3,91
152,91,6
153,6,82
154,82,12
155,12,81
156,81,10
157,10,87
158,87,154
159,154,88
160,88,0
161,0,70
162,70,154
163,154,89
164,89,10
165,10,80
166,80,9
167,9,83
168,83,1
169,1,93
170,93,12
171,12,78
172,78,156
173,156,85
174,85,152
175,152,64
176,64,0
177,0,92
178,92,4
179,4,71
180,71,5
181,5,76
182,76,155
183,155,84
184,84,10
185,10,70
186,70,2
187,2,90
188,90,158
189,158,85
190,85,157
191,157,77
192,77,11
193,11,85
194,85,10
195,10,83
196,83,12
197,12,77
198,77,10
199,10,82
200,82,146
201,146,86
202,86,5
203,5,96
204,96,4
205,4,91
206,91,159
207,159,68
208,68,7
209,7,82
210,82,142
211,142,75
212,75,5
213,5,72
214,72,140
215,140,81
216,81,14
217,14,74
218,74,156
219,156,88
220,88,9
221,9,86
222,86,1
223,1,80
224,80,3
225,3,78
226,78,157
227,157,73
228,73,15
229,15,81
230,81,13
231,13,71
232,71,139
233,139,72
234,72,143
235,143,75
236,75,15
237,15,82
238,82,11
239,11,87
240,87,150
241,150,62
242,62,121
243,121,57
244,57,120
245,120,55
246,55,119
247,119,50
248,50,117
249,117,49
250,49,116
251,116,47
252,47,110
253,110,48
254,48,117
255,117,51
256,51,118
257,118,49
258,49,110
259,110,46
260,46,109
261,109,45
262,45,108
263,108,43
264,43,109
265,109,44
266,44,108
267,108,46
268,46,115
269,115,47
270,47,117
271,117,52
272,52,118
273,118,54
274,54,112
275,112,47
276,47,114
277,114,45
278,45,115
279,115,48
280,48,116
281,116,46
282,46,113
283,113,56
284,56,119
285,119,57
286,57,113
287,113,39
288,39,108
289,108,40
290,40,107
291,107,37
292,37,112
293,112,53
294,53,118
295,118,48
296,48,102
297,102,65
298,65,151
299,151,66
300,66,104
301,104,31
302,31,105
303,105,30
304,30,109
305,109,47
306,47,113
307,113,48
308,48,109
309,109,60
310,60,120
311,120,61
312,61,149
313,149,82
314,82,1
315,1,89
316,89,155
317,155,69
318,69,1
319,1,63
320,63,94
321,94,3
322,3,75
323,75,158
324,158,86
325,86,17
326,17,82
327,82,13
328,13,94
329,94,56
330,56,93
331,93,7
332,7,98
333,98,8
334,8,97
335,97,5
336,5,74
337,74,16
338,16,88
339,88,151
340,151,84
341,84,11
342,11,81
343,81,2
344,2,68
345,68,123
346,123,62
347,62,151
348,151,83
349,83,6
350,6,78
351,78,2
352,2,74
353,74,141
354,141,82
355,82,5
356,5,89
357,89,156
358,156,76
359,76,158
360,158,78
361,78,144
362,144,84
363,84,153
364,153,87
365,87,7
366,7,81
367,81,146
368,146,73
369,73,23
370,23,72
371,72,3
372,3,70
373,70,12
374,12,80
375,80,14
376,14,88
377,88,159
378,159,87
379,87,18
380,18,81
381,81,147
382,147,89
383,89,3
384,3,74
385,74,157
386,157,76
387,76,10
388,10,73
389,73,13
390,13,93
391,93,57
392,57,112
393,112,55
394,55,118
395,118,50
396,50,111
397,111,52
398,52,119
399,119,51
400,51,103
401,103,65
402,65,123
403,123,49
404,49,111
405,111,34
406,34,106
407,106,35
408,35,105
409,105,36
410,36,107
411,107,38
412,38,113
413,113,36
414,36,124
415,124,68
416,68,126
417,126,69
418,69,9
419,9,77
420,77,156
421,156,90
422,90,155
423,155,70
424,70,11
425,11,71
426,71,6
427,6,84
428,84,7
429,7,92
430,92,11
431,11,86
432,86,145
433,145,80
434,80,139
435,139,81
436,81,141
437,141,72
438,72,22
439,22,71
440,71,1
441,1,94
442,94,39
443,39,112
444,112,32
445,32,104
446,104,67
447,67,103
448,103,52
449,52,107
450,107,58
451,58,99
452,99,40
453,40,114
454,114,41
455,41,99
456,99,6
457,6,75
458,75,149
459,149,65
460,65,158
461,158,67
462,67,153
463,153,73
464,73,139
465,139,82
466,82,19
467,19,83
468,83,14
469,14,101
470,101,44
471,44,106
472,106,33
473,33,112
474,112,31
475,31,109
476,109,63
477,63,150
478,150,76
479,76,3
480,3,92
481,92,56
482,56,112
483,112,45
484,45,116
485,116,50
486,50,110
487,110,61
488,61,121
489,121,55
490,55,106
491,106,60
492,60,108
493,108,51
494,51,107
495,107,68
496,68,125
497,125,50
498,50,115
499,115,42
500,42,100
501,100,44
502,44,113
503,113,60
504,60,105
505,105,66
506,66,103
507,103,21
508,21,72
509,72,142
510,142,76
511,76,4
512,4,70
513,70,138
514,138,86
515,86,16
516,16,84
517,84,148
518,148,81
519,81,145
520,145,87
521,87,148
522,148,60
523,60,117
524,117,54
525,54,104
526,104,24
527,24,72
528,72,155
529,155,74
530,74,144
531,144,86
532,86,150
533,150,82
534,82,3
535,3,96
536,96,58
537,58,120
538,120,53
539,53,114
540,114,59
541,59,111
542,111,28
543,28,103
544,103,23
545,23,71
546,71,3
547,3,83
548,83,11
549,11,93
550,93,14
551,14,72
552,72,8
553,8,78
554,78,155
555,155,75
556,75,17
557,17,83
558,83,142
559,142,74
560,74,143
561,143,82
562,82,20
563,20,89
564,89,0
565,0,63
566,63,151
567,151,64
568,64,1
569,1,95
570,95,3
571,3,79
572,79,10
573,10,86
574,86,137
575,137,80
576,80,159
577,159,90
578,90,153
579,153,89
580,89,15
581,15,71
582,71,21
583,21,90
584,90,7
585,7,83
586,83,16
587,16,85
588,85,154
589,154,76
590,76,132
591,132,77
592,77,0
593,0,67
594,67,1
595,1,87
596,87,146
597,146,79
598,79,13
599,13,89
600,89,157
601,157,81
602,81,156
603,156,83
604,83,20
605,20,72
606,72,9
607,9,100
608,100,58
609,58,105
610,105,29
611,29,108
612,108,65
613,65,8
614,8,96
615,96,2
616,2,97
617,97,66
618,66,2
619,2,95
620,95,57
621,57,110
622,110,26
623,26,75
624,75,25
625,25,73
626,73,5
627,5,88
628,88,6
629,6,80
630,80,140
631,140,74
632,74,4
633,4,95
634,95,40
635,40,111
636,111,45
637,45,110
638,110,35
639,35,122
640,122,48
641,48,114
642,114,37
643,37,119
644,119,39
645,39,126
646,126,52
647,52,105
648,105,67
649,67,17
650,17,81
651,81,3
652,3,66
653,66,153
654,153,74
655,74,146
656,146,83
657,83,152
658,152,89
659,89,148
660,148,64
661,64,101
662,101,63
663,63,121
664,121,38
665,38,125
666,125,40
667,40,123
668,123,50
669,50,124
670,124,66
671,66,98
672,98,9
673,9,89
674,89,14
675,14,85
676,85,139
677,139,86
678,86,22
679,22,73
680,73,11
681,11,99
682,99,65
683,65,112
684,112,41
685,41,107
686,107,57
687,57,116
688,116,44
689,44,105
690,105,42
691,42,128
692,128,52
693,52,114
694,114,46
695,46,117
696,117,35
697,35,123
698,123,36
699,36,118
700,118,56
701,56,133
702,133,77
703,77,27
704,27,74
705,74,151
706,151,68
707,68,109
708,109,53
709,53,117
710,117,67
711,67,16
712,16,71
713,71,142
714,142,77
715,77,6
716,6,72
717,72,156
718,156,71
719,71,19
720,19,84
721,84,13
722,13,78
723,78,138
724,138,82
725,82,140
726,140,87
727,87,144
728,144,76
729,76,145
730,145,79
731,79,12
732,12,91
733,91,7
734,7,97
735,97,4
736,4,83
737,83,143
738,143,77
739,77,159
740,159,69
741,69,0
742,0,62
743,62,94
744,94,14
745,14,74
746,74,154
747,154,91
748,91,24
749,24,73
750,73,8
751,8,101
752,101,50
753,50,113
754,113,55
755,55,129
756,129,49
757,49,102
758,102,54
759,54,119
760,119,33
761,33,109
762,109,25
763,25,110
764,110,55
765,55,95
766,95,65
767,65,0
768,0,86
769,86,153
770,153,72
771,72,25
772,25,105
773,105,59
774,59,104
775,104,26
776,26,105
777,105,45
778,45,103
779,103,30
780,30,111
781,111,51
782,51,122
783,122,39
784,39,124
785,124,37
786,37,117
787,117,45
788,45,107
789,107,60
790,60,104
791,104,49
792,49,97
793,97,64
794,64,103
795,103,56
796,56,109
797,109,35
798,35,113
799,113,40
800,40,115
801,115,43
802,43,106
803,106,32
804,32,110
805,110,52
806,52,121
807,121,34
808,34,122
809,122,62
810,62,152
811,152,76
812,76,149
813,149,91
814,91,158
815,158,77
816,77,135
817,135,87
818,87,143
819,143,86
820,86,2
821,2,67
822,67,6
823,6,86
824,86,15
825,15,84
826,84,8
827,8,88
828,88,10
829,10,99
830,99,59
831,59,122
832,122,50
833,50,128
834,128,57
835,57,98
836,98,2
837,2,76
838,76,131
839,131,56
840,56,105
841,105,23
842,23,75
843,75,145
844,145,73
845,73,20
846,20,84
847,84,22
848,22,85
849,85,141
850,141,80
851,80,144
852,144,77
853,77,147
854,147,73
855,73,12
856,12,89
857,89,19
858,19,72
859,72,152
860,152,86
861,86,129
862,129,54
863,54,111
864,111,31
865,31,120
866,120,38
867,38,106
868,106,42
869,42,131
870,131,51
871,51,126
872,126,38
873,38,114
874,114,44
875,44,126
876,126,72
877,72,7
878,7,100
879,100,59
880,59,112
881,112,66
882,66,13
883,13,98
884,98,65
885,65,150
886,150,75
887,75,159
888,159,65
889,65,9
890,9,93
891,93,60
892,60,114
893,114,43
894,43,124
895,124,56
896,56,95
897,95,61
898,61,150
899,150,66
900,66,108
901,108,41
902,41,127
903,127,59
904,59,0
905,0,83
906,83,149
907,149,73
908,73,21
909,21,83
910,83,140
911,140,85
912,85,138
913,138,87
914,87,136
915,136,84
916,84,12
917,12,71
918,71,153
919,153,65
920,65,110
921,110,39
922,39,130
923,130,50
924,50,121
925,121,36
926,36,117
927,117,34
928,34,120
929,120,52
930,52,101
931,101,10
932,10,92
933,92,5
934,5,90
935,90,20
936,20,71
937,71,125
938,125,54
939,54,116
940,116,65
941,65,101
942,101,45
943,45,113
944,113,58
945,58,95
946,95,42
947,42,119
948,119,53
949,53,105
950,105,68
951,68,106
952,106,67
953,67,15
954,15,76
955,76,27
956,27,107
957,107,46
958,46,105
959,105,34
960,34,114
961,114,58
962,58,121
963,121,39
964,39,106
965,106,66
966,66,0
967,0,87
968,87,149
969,149,74
970,74,25
971,25,76
972,76,148
973,148,75
974,75,141
975,141,83
976,83,145
977,145,88
978,88,12
979,12,100
980,100,15
981,15,94
982,94,2
983,2,83
984,83,13
985,13,91
986,91,11
987,11,78
988,78,4
989,4,85
990,85,7
991,7,96
992,96,49
993,49,122
994,122,33
995,33,113
996,113,61
997,61,108
998,108,52
999,52,132
1000,132,44
